country,title
USA,Alice in Acidland
USA,Alice in Murderland
USA,Alice in Wonderland
USA,Alice in Wonderland
USA,Alice in Wonderland
USA,Alice in Wonderland
USA,Alice nel paese delle meraviglie
USA,Alice nel paese delle meraviglie
USA,Alice non abita piA¹ qui
USA,Alice of Wonderland in Paris
USA,Alien - La clonazione
USA,Alien - Zona di guerra
USA,Alien Abduction
USA,Alien Abduction: Intimate Secrets
USA,Alien Abduction: Rapimenti Alieni
USA,Alien Dawn
USA,Alien Domicile
USA,Alien Domicile 2: Lot 24
USA,Alien Encounter
USA,Alien Expedition
USA,Alien Factor 2: The Alien Rampage
USA,Alien nation
USA,Alien Opponent
USA,Alien Outlaw
USA,Alien Predator
USA,Alien Predator
USA,Alien Raiders
USA,Alien Reign of Man
USA,Alien Seed
USA,Alien Sex Party
USA,Alien Showdown: The Day the Old West Stood Still
USA,Alien Siege
USA,Alien Space Avenger
USA,Alien Species
USA,Alien Strain
USA,Alien Terminator
USA,Alien Trespass
USA,Alien Valley
USA,Alien vs. Predator
USA,Alien Warfare
USA,Alien: Covenant
USA,AlienÂ³
USA,Alienate
USA,Alienated
USA,Alienator
USA,Alieni in soffitta
USA,Aliens - Scontro finale
USA,Aliens vs. Avatars
USA,Aliens vs. Predator 2
USA,Aliens vs. Titanic
USA,Aliens: Zone of Silence
USA,Alimony
USA,A-List
USA,Alistair1918
USA,Alita - Angelo della battaglia
USA,Alive - Sopravvissuti
USA,Alive or Dead
Germany,Alki Alki
USA,All About Evil
USA,All About Nina
USA,All About the Benjamins
USA,All About the Money
USA,All About Us
USA,All About You
USA,All Alone
USA,All American Bikini Car Wash
USA,All American Boys
USA,All American Christmas Carol
USA,All American Zombie Drugs
USA,All At Once
USA,All Babes Want to Kill Me
USA,All Cheerleaders Die
USA,All Creatures Here Below
USA,All Dark Places
USA,All Day and a Night
USA,All Eyez on Me
USA,All for Melissa
USA,All for Nikki
USA,All Forgotten
USA,All Girls Weekend
USA,All I Need
USA,All I Want
USA,All In
USA,All in Time
USA,All Is Bright
USA,All Is Lost - Tutto A¨ perduto
USA,All Light Will End
USA,All Mistakes Buried
USA,All My Friends Are Funeral Singers
Germany,All My Loving
USA,All Night Long
USA,All Out Dysfunktion!
USA,All Over Again
USA,All Over Me
USA,All Over the Guy
USA,All Over Town
USA,All Rise
USA,All Saints
USA,All Souls Day: Dia de los Muertos
USA,All Square
USA,All Stars
USA,All Summers End
USA,All Superheroes Must Die
USA,All That I Am
USA,All That I Need
USA,All That Jazz - Lo spettacolo comincia
USA,All the Birds Have Flown South
USA,All the Boys Love Mandy Lane
USA,All the Creatures Were Stirring
USA,All the Days Before Tomorrow
USA,All the Devils Are Here
USA,All the Light in the Sky
USA,All the Others Were Practice
USA,All the Rage
USA,All the Real Girls
USA,All the Sins of Sodom
USA,All the Wilderness
USA,All These Small Moments
USA,All Things Fall Apart
USA,All Through the House
USA,All Together Now
USA,All We Had
USA,All You Can Dream
USA,All You Need
USA,Alla conquista dei dollari
USA,Alla conquista di Hollywood
USA,Alla deriva
Germany,Alla deriva
USA,Alla fiera per un marito
USA,Alla fine ci sei tu
USA,Alla larga dal mare
USA,Alla maniera di Cutter
USA,Alla radice del male
USA,Alla ricerca del successo
USA,Alla ricerca del tesoro di Jones
USA,Alla ricerca della felicitA 
USA,Alla ricerca della valle incantata
USA,Alla ricerca di Dory
USA,Alla ricerca di Jimmy
USA,Alla ricerca di Nemo
USA,Alla scoperta di Charlie
USA,Alla scoperta di papA 
USA,Allagash
USA,All-American Co-Ed
USA,Allan Quatermain e le miniere di re Salomone
USA,Allarme mortale
USA,Allarme polizia!
USA,Allarme rosso
USA,Allarme rosso
Germany,Alle Anderen
USA,Alle donne ci penso io
USA,Alle donne piace ladro
USA,Alleged
USA,Allegiance of Powers
USA,Allegri esploratori
USA,Allegri gemelli
USA,Allegri naviganti
Germany,Allegria
Germany,Allein
Germany,Allein gegen die Zeit - Der Film
Germany,Allein unter Frauen
USA,Alleluja!
Germany,Alles Bob!
Germany,Alles inklusive
Germany,Alles ist gut
Germany,Alles ist Liebe
Germany,Alles wird gut
USA,Alley Cat
USA,Alligator
USA,Alligator Eyes
USA,Alligator II: The Mutation
USA,Alligator X
USA,Allo sbaraglio
USA,Allora la sposo io
USA,Allucinante notte per un delitto
USA,Allucinazione perversa
USA,Allure
USA,Allyson Is Watching
Germany,Almanya - La mia famiglia va in Germania
USA,Almost Amazing
USA,Almost Anything
USA,Almost Blue
USA,Almost Christmas - Vacanze in famiglia
Germany,Almost Heaven
USA,Almost Heroes
USA,Almost Human
USA,Almost Human
USA,Almost Kings
USA,Almost Mercy
USA,Almost Normal
USA,Almost Summer
USA,Aloha Summer
USA,Aloma dei mari del sud
USA,Alone
USA,Alone
USA,Alone
USA,Alone
USA,Alone in the Dead of Night
USA,Alone in the Woods
USA,Alone We Fight
USA,Alone with Her
USA,Alone Yet Not Alone
USA,Along Came the Devil 2
USA,Along the Rio Grande
USA,Along the Roadside
USA,Along the Way
USA,Alongside Night
USA,Alpha & Omega: La leggenda della caverna dai denti seghettati
USA,Alpha and Omega: Family Vacation
Germany,Alpha Dog
USA,Alpha Girls
USA,Alpha Male
USA,Alpha Wolf
USA,Alphabet City
USA,Already Dead
USA,Already Gone
USA,Already Tomorrow in Hong Kong
Germany,Als Hitler das rosa Kaninchen stahl
USA,Alta marea
USA,Alta societA 
USA,Alta tensione
USA,Alta tensione
USA,Altar
USA,Altar Egos
USA,Alter ego
USA,Alter Egos
Germany,Alter und SchA¶nheit
USA,Alterazione genetica II
USA,Altered - Paura dallo spazio profondo
USA,Altered Hours
USA,Altered Minds
USA,Altered Perception
USA,Altered Species
USA,Altered States of Plaine
USA,Altergeist
USA,Alterscape
USA,Altitude: Paura ad alta quota
USA,Alto
USA,Alto tradimento
USA,Altra bandiera
USA,Altruisti si diventa
USA,Alvin Superstar
USA,Alvin Superstar - Nessuno ci puA² fermare
USA,Alvin Superstar 2
USA,Alvin Superstar 3 - Si salvi chi puA²!
USA,Always
USA,Always - Per sempre
USA,Always a Bride
USA,Always a Bridesmaid
USA,Always Leave Them Laughing
USA,Always Say Goodbye
USA,Always Shine
USA,Always Together
USA,Always Watching
USA,Always Will
USA,Always Worthy
USA,Alyce
Germany,Am Ende kommen Touristen
Germany,Am Himmel der Tag
USA,Am I a Serial Killer?
Germany,Am Tag als Bobby Ewing starb
USA,Amabili resti
USA,Amadeus
USA,Amai una donna
USA,Amami o lasciami
USA,Amami stanotte
USA,Amami teneramente
USA,Amanda
USA,Amanda
USA,Amanda & Jack Go Glamping
USA,Amanti crudeli
USA,Amanti di domani
USA,Amanti ed altri estranei
Germany,Amanti folli
USA,Amanti fuggitivi
USA,Amanti latini
USA,Amanti senza domani
USA,"Amanti, primedonne"
USA,Amapola
USA,Amare A¨
USA,Amare con rabbia
USA,Amare per sempre
USA,Amarilly of Clothes-Line Alley
USA,Amaro destino
USA,Amarsi
USA,Amarti a New York
USA,Amarti A¨ la mia dannazione
USA,Amateur
USA,Amateur
USA,Amateur Night
USA,Amateur Porn Star Killer
USA,Amateur Porn Star Killer 2
USA,Amazing Grace
USA,Amazing Grace
USA,Amazing Love
USA,Amazing Stories
USA,Amazon
USA,Amazon Hot Box
USA,Amazons
USA,Amazons and Gladiators
USA,Ambassador Bill
USA,Amber Alert
USA,Amber Lake
USA,Ambition
USA,Ambition
USA,Ambizione
USA,Ambizione fatale
USA,Ambra
USA,Amelia
USA,Amelia 2.0
USA,America
USA,America
USA,America 101
USA,America 1929 - Sterminateli senza pietA 
USA,America 3000
USA,America Brown
USA,America dopo
USA,America oggi
USA,America So Beautiful
USA,America violenta
USA,"America, America"
USA,"America, America, dove vai?"
USA,American Animal
USA,American Assassin
USA,American Bad Boy
USA,American Beach House
USA,American Beauty
USA,American Bistro
USA,American Blue Jeans
USA,American Bred
USA,American Chai
USA,American Christmas
USA,American College
USA,American Cowslip
USA,American Criminal
USA,American Crude - Follie in America
USA,American Desi
USA,American Dirtbags
USA,American Dreamer
USA,American Dreamer
USA,American Dreamz
USA,American Dresser
USA,American Drive-In
USA,American Exit
USA,American Exorcism
USA,American Exorcist
USA,American Fable
USA,American Folk
USA,American Fork
USA,American Fusion
USA,American Gangster
USA,American Gigolo
USA,American Girl
USA,American Gothic
USA,American Graffiti
USA,American Graffiti 2
USA,American Guinea Pig: Bloodshock
USA,American Guinea Pig: Bouquet of Guts and Gore
USA,American Guinea Pig: The Song of Solomon
USA,American Gun
USA,American Gun
USA,American Heart
USA,American Hero
USA,American History X
USA,American Hostage
USA,American Hot Wax
USA,American Idiots
USA,American Job
USA,American Justice
USA,American Kamasutra
USA,American Kickboxer 2
USA,American Life
USA,American Maniacs
USA,American Me - Rabbia di vivere
USA,American Milkshake
USA,American Mummy
USA,American Muscle
USA,American Ninja 5
USA,American Nudist
USA,American Pastime
USA,American Perfekt
USA,American Pets
USA,American Pie - Il matrimonio
USA,American Pie - Il primo assaggio non si scorda mai
USA,American Pie 2
USA,American Pie: Ancora insieme
USA,American Poltergeist
USA,American Pop
USA,American Primitive
USA,American Psycho
USA,American Rampage
USA,American Raspberry
USA,American Romance
USA,American Satan
USA,American School
USA,American Scream King
USA,American Shaolin
USA,American Sharia
USA,American Sniper
USA,American Son
USA,American Son
USA,American Southern
USA,American Splendor
USA,American Streetfighter
USA,American sunshine
USA,American Taboo
USA,American Tigers
USA,American Trip - Il primo viaggio non si scorda mai
USA,American Ultra
USA,American Violence
USA,American Violet
USA,American Virgin
USA,American Weapon
USA,American Wisper
USA,American Woman
USA,American Wrestler: The Wizard
USA,American Yakuza
USA,American Yearbook
USA,American Yuppies
USA,American Zombie
USA,Americana
USA,AmericanEast
USA,Americani
USA,Americanizzando Shalini
USA,Americano
USA,Americons
USA,AmeriGeddon
USA,Amerikana
USA,Amexicano
USA,"Amiamoci cosA¬, belle signore"
USA,Amica per vendetta
USA,Amiche cattive
USA,Amiche di sangue
USA,Amiche per sempre
USA,Amici & vicini
USA,Amici come prima
USA,Amici di letto
USA,Amici di... letti
USA,"Amici per gioco, amici per sesso"
USA,Amici per la vita
USA,Amici per sempre
USA,Amici x la morte
USA,"Amici, amanti e..."
USA,"Amici, complici, amanti"
USA,Amicizie pericolose
USA,Amico venuto dallo spazio
USA,Amigo
USA,Amigo Undead
USA,Amira & Sam
USA,Amistad
USA,Amityville Exorcism
USA,Amityville Horror
USA,Amityville Horror
USA,Amityville III
USA,Amityville Island
USA,Amityville: Il risveglio
USA,Amityville: Mt. Misery Rd.
USA,Amityville: No Escape
USA,Amityville: Vanishing Point
Germany,Amleto
USA,Amleto
USA,Ammazzavampiri
USA,Ammazzavampiri 2
USA,Ammesso
USA,Ammutinamento nello spazio
USA,Amnesia
USA,Amnesia investigativa
USA,Amnesiac
USA,Amo Luisa disperatamente
USA,Amo mia moglie
Germany,Amok - Follia omicida
Germany,Amoklauf
USA,Among Brothers
USA,Among Friends
USA,Among Ravens
USA,Among the Living
USA,Among the Shadows - Tra le ombre
USA,Among Thieves
USA,Among Us
USA,Amor gitano
USA,Amor mio tradiscimi!
USA,Amore & altri rimedi
USA,Amore a doppio senso
USA,Amore a mille... miglia
USA,Amore a prima svista
USA,Amore al buio
USA,Amore al curry
USA,Amore al primo morso
USA,Amore al Primo... Gulp!
USA,Amore con interessi
USA,Amore di madre
USA,Amore di strega
USA,Amore di zingara
USA,Amore dolce amore
USA,Amore e altri guai
USA,Amore e desiderio
USA,Amore e dolore e tutto quel dannato pasticcio
USA,Amore e guerra
USA,Amore e magia
USA,Amore e mare
USA,Amore e matrimonio
USA,Amore e morte al tavolo da gioco
USA,Amore e odio a New York
USA,Amore e ossessione
USA,Amore e pallottole
USA,Amore e sport
USA,Amore estremo - Tough Love
USA,Amore folle
USA,Amore in corsa
USA,Amore in otto lezioni
USA,Amore inaspettato
USA,Amore per finta
USA,Amore per sempre
USA,Amore provinciale
USA,Amore selvaggio
USA,Amore senza domani
USA,Amore sotto coperta
USA,Amore sotto i tetti
USA,Amore sotto zero
USA,Amore sublime
USA,Amore sulle labbra
USA,Amore tra le righe
USA,Amore tradito
USA,Amore tzigano
USA,Amore!
USA,"Amore, cucina e curry"
USA,"Amore, ritorna!"
USA,Amori & incantesimi
USA,Amori & segreti
USA,Amori e amicizie
USA,Amori e disastri
USA,Amori e ripicche
USA,Amori e Sparatorie
USA,Amori in cittA ... e tradimenti in campagna
USA,Amori in corsa
USA,Amori proibiti
USA,Amori segreti di Romeo e Giulietta
USA,Amori sospesi
USA,Amos & Andrew
USA,Amreeka
USA,Amusement - Giochi pericolosi
USA,Amy
USA,Amy
USA,Amy Winehouse: Fallen Star
USA,An Acceptable Loss - Decisione estrema
USA,An Accidental Zombie (Named Ted)
USA,An Acrid Yarn
USA,An Act of War
USA,An American Carol
USA,An American Crime
USA,An American in Hollywood
USA,An American in Texas
USA,An American Pickle
USA,An American Reunion
USA,An American Terror
USA,An American Vampire Story
USA,An Angel from Texas
USA,An Angel Named Billy
USA,An Easter Bunny Puppy
USA,An Evening of Edgar Allan Poe
USA,An Evergreen Christmas
USA,An Everlasting Piece
USA,An Eye for an Eye
USA,An Hour to Kill
USA,An Interview with God
USA,An Intimate Friendship
USA,An Invited Guest
USA,An Ordinary Family
USA,An Ordinary Killer
USA,An Oversimplification of Her Beauty
USA,An Unremarkable Life
USA,Ana
USA,Ana Maria in Novela Land
USA,Anabolic Life
USA,Anacardium
USA,Anaconda
USA,Analisi di un delitto
USA,Analisi finale
USA,Analog Days
USA,Anamorph - I ritratti del serial killer
USA,Anarchia - La notte del giudizio
USA,Anarchy TV
USA,Anastasia
USA,Anastasia: Once Upon a Time
USA,Anatomia di un amore visto
USA,Anatomia di un delitto
USA,Anatomia di un omicidio
Germany,Anatomy
Germany,Anatomy 2
USA,Anatomy of a Psycho
USA,Anche gli eroi piangono
USA,Anche gli uccelli uccidono
USA,Anche i boia muoiono
USA,Anche i fantasmi lo fanno
USA,Anchorman - La leggenda di Ron Burgundy
USA,Anchorman 2 - Fotti la notizia
USA,Ancient Evil: Scream of the Mummy
USA,Ancient Warriors
USA,Ancora 12 Rounds
USA,Ancora 48 ore
USA,Ancora auguri per la tua morte
USA,Ancora e sempre
USA,Ancora insieme
USA,Ancora insieme
USA,Ancora piA¹ scemo
USA,Ancora sei ore di vita
USA,Ancora tu!
USA,Ancora una volta
USA,Ancora una volta
USA,Ancora vivo
USA,And One Was Beautiful
USA,And Punching the Clown
USA,And Soon the Darkness
USA,And Then Came Lola
USA,And Then Came Love
USA,And Then Came Summer
USA,And Then I Go
USA,And Then There Was Eve
USA,And While We Were Here
Germany,Anders als die Andern
USA,Anderson Bench
Germany,Anderswo
Germany,Andi Ommsen ist der letzte Lude
USA,Andover
USA,Andre - Un amico con le pinne
USA,Androclo e il leone
USA,Android - Molto piA¹ che umano
USA,Android Cop
USA,Android Insurrection
USA,Andromeda
USA,Andromina: The Pleasure Planet
USA,Andy Hardy Comes Home
USA,Andy Hardy e la febbre di primavera
USA,Andy Hardy incontra la debuttante
USA,Anello di sangue
USA,Anesthesia
Germany,Anfitrione
USA,Angel 4: Undercover
USA,Angel Blade
USA,Angel Camouflaged
Germany,Angel Express
USA,Angel Eyes
USA,Angel Fist - Vendetta marziale
USA,Angel in My Pocket
USA,Angel in Training
USA,Angel killer
USA,Angel killer II - La vendetta
USA,Angel killer III - Ultima sfida
USA,Angel of Death
USA,Angel of Destruction
USA,Angel of H.E.A.T.
USA,Angel of Reckoning
USA,Angel of Vengeance
USA,Angel Town
USA,"Angel, Angel, Down We Go"
USA,Angela
USA,Angeli armati
USA,Angeli con la pistola
USA,Angeli del peccato
USA,Angeli della notte
USA,Angeli della violenza
USA,Angeli e demoni
USA,Angeli o quasi
USA,Angeli senza cielo
USA,Angelica
USA,Angelo
USA,Angelo My Love
USA,Angels
USA,Angels Crest
USA,Angels Die Hard
USA,Angels Fallen
USA,Angels in Disguise
USA,Angels in Stardust
USA,Angels in the Outfield
USA,Angels sing - Un Natale tutto nuovo
USA,Angels with Angles
USA,Angie X
USA,Angoscia
USA,Angoscia
USA,Angoscia nella notte
USA,Angry Video Game Nerd: The Movie
USA,ANI: A Parody
USA,Anima e corpo
USA,Animal
USA,Animal - Il segreto della foresta
USA,Animal Among Us
USA,Animal Behavior
USA,Animal Crackers
USA,Animal Factory
USA,Animal House
USA,Animal Room
USA,Animali da ufficio
USA,Animali notturni
USA,Animals
USA,Animals
USA,Animals
Germany,Animals United
USA,Animator
USA,Anime ferite
USA,Anime gemelle
USA,Anime gemelle
USA,Anime in delirio
Germany,Anime nella Nebbia
USA,Anime nere
USA,Anime sporche
USA,Anime sul mare
USA,Animus
USA,Animus: The Tell-Tale Heart
Germany,Anleitung zum UnglA¼cklichsein
USA,Ann Vickers
USA,Anna
USA,Anna
USA,Anna 2
USA,Anna and the King
Germany,Anna Bolena
USA,Anna Christie
USA,Anna Christie
USA,Anna dei miracoli
USA,Anna e il re del Siam
USA,Anna Karenina
USA,Anna Karenina
USA,Anna Karenina
USA,Anna Lucasta la ragazza che scotta
USA,Anna Nicole
USA,Anna prendi il fucile
USA,Anna to the Infinite Power
USA,Annabel Takes a Tour
USA,Annabelle
USA,Annabelle 2: Creation
USA,Annabelle 3
USA,Annabelle Hooper and the Ghosts of Nantucket
USA,Annapolis
Germany,Annas Sommer
USA,Anne
USA,Anne B. Real
USA,Anne of Windy Poplars
USA,Anni impazienti
USA,Anni perduti
USA,Anni verdi
USA,Annibale e la vestale
USA,Annie
USA,Annie - La felicitA  A¨ contagiosa
USA,Annie del Klondike
USA,Annie Laurie
USA,Annie Parker
USA,Anno 2000 - La corsa della morte
USA,Anno 2053 - la grande fuga
USA,Anno 2118: progetto X
USA,Anno 2670 - Ultimo atto
USA,Anno uno
USA,Annunci di morte
USA,Anomaly
Germany,Anon
USA,Anonima delitti
USA,Anonima omicidi
USA,Anonima peccati
USA,Anonima sequestri
Germany,Anonyma - Eine Frau in Berlin
USA,Anonymous
USA,Anonymous 616
USA,Another
USA,Another Chance
USA,"Another Day, Another Man"
USA,Another Earth
USA,Another Evil
USA,Another Face
USA,Another Gay Movie
USA,Another Gay Sequel: Gays Gone Wild!
USA,Another Girl Another Planet
USA,Another Happy Day
USA,Another Kind
USA,Another Language
USA,Another Perfect Stranger
USA,Another Plan from Outer Space
USA,Another Son of Sam
USA,Another Soul
USA,Another Superhero Movie
USA,Another Time
USA,Another Yeti a Love Story: Life on the Streets
USA,Another You
USA,Answer This!
USA,Answers to Nothing
USA,Ant Bully - Una vita da formica
USA,Antfarm Dickhole
Germany,Anthropophagous 2000
USA,Antidote
Germany,Antigone
Germany,AntikA¶rper
USA,Antiquities
USA,Antisocial Behavior
USA,Ant-Man
USA,Ant-Man and the Wasp
USA,Antwone Fisher
USA,Anus Magillicutty
USA,Any Bullet Will Do
USA,Any Day
